
 metric,table
 30_day_moving_avg_dev_activity_change_1d,intraday_metrics
 aavev2_action_deposits,intraday_metrics
 active_addresses_24h_change_1d,intraday_metrics
 active_addresses_30d,intraday_metrics
 active_addresses_7d,intraday_metrics
 active_deposits,daily_metrics_v2
 active_deposits_5min,intraday_metrics
 active_holders_distribution_all,daily_metrics_v2
 active_withdrawals,daily_metrics_v2
 active_withdrawals_5min,intraday_metrics
 adjusted_daa_divergence,daily_metrics_v2
 age_distribution_5min_delta,distribution_deltas_5min
 all_known_balance,intraday_metrics
 all_spent_coins_cost,distribution_deltas_5min
 average_transfer_5min,intraday_metrics
 avg_fees_usd,daily_metrics_v2
 avg_fees_usd_intraday,intraday_metrics
 avg_gas,intraday_metrics
 bitfinex_funding_rates,intraday_metrics
 bitmex_composite_price_index,intraday_metrics
 bitmex_perpetual_basis,intraday_metrics
 bitmex_perpetual_basis_ratio,intraday_metrics
 bitmex_perpetual_funding_rate,intraday_metrics
 bitmex_perpetual_funding_rate_change_1d,intraday_metrics
 bitmex_perpetual_open_interest,intraday_metrics
 bitmex_perpetual_open_value,intraday_metrics
 bitmex_perpetual_price,intraday_metrics
 busd_bnb_funding_rates,intraday_metrics
 busd_bnb_funding_rates,intraday_metrics
 busd_bnb_open_interest,intraday_metrics
 busd_bnb_open_interest,intraday_metrics
 busd_bnb_open_value,intraday_metrics
 busd_bnb_open_value,intraday_metrics
 compound_total_borrowed,intraday_metrics
 compound_total_borrowed_usd,intraday_metrics
 compound_total_deposits_usd,intraday_metrics
 compound_total_liquidations_usd,intraday_metrics
 compound_total_new_debt_usd,intraday_metrics
 compound_total_repayments_usd,intraday_metrics
 compound_total_supplied,intraday_metrics
 compound_total_supplied_usd,intraday_metrics
 daa_divergence,daily_metrics_v2
 daily_active_addresses,daily_metrics_v2
 daily_avg_marketcap_usd,daily_metrics_v2
 daily_avg_price_usd,daily_metrics_v2
 daily_closing_marketcap_usd,daily_metrics_v2
 daily_closing_price_usd,daily_metrics_v2
 daily_dai_collat_ratio,daily_metrics_v2
 daily_high_price_usd,daily_metrics_v2
 daily_low_price_usd,daily_metrics_v2
 daily_opening_price_usd,daily_metrics_v2
 daily_sai_collat_ratio,daily_metrics_v2
 daily_sai_locked,daily_metrics_v2
 daily_trading_volume_usd,daily_metrics_v2
 defipulse_total_value_locked_eth,intraday_metrics
 defipulse_total_value_locked_usd,intraday_metrics
 deposit_balance,intraday_metrics
 deposit_transactions,daily_metrics_v2
 deposit_transactions_5min,intraday_metrics
 deribit_funding_rates,intraday_metrics
 dev_activity,intraday_metrics
 dev_activity_change_1d,intraday_metrics
 dev_activity_change_30d,intraday_metrics
 dev_activity_change_7d,intraday_metrics
 dex_balance,intraday_metrics
 dormant_circulation_10y,daily_metrics_v2
 dydx_funding_rates,intraday_metrics
 
