metric,table
network_circulation_usd_1d,daily_metrics_v2
network_growth,daily_metrics_v2
network_profit_loss,intraday_metrics
nft_collection_avg_price,intraday_nft_metrics
nft_collection_avg_price_usd,intraday_nft_metrics
nft_collection_holders_balance,intraday_nft_metrics
nft_collection_max_price,intraday_nft_metrics
nft_collection_max_price_usd,intraday_nft_metrics
nft_collection_min_price,intraday_nft_metrics
nft_collection_min_price_usd,intraday_nft_metrics
nft_collection_profit_loss,intraday_nft_metrics
nft_collection_profit_loss_usd,intraday_nft_metrics
nft_collection_trades_count,intraday_nft_metrics
nft_market_count,intraday_nft_metrics
nft_market_volume,intraday_nft_metrics
nft_network_profit_loss,intraday_nft_metrics
nft_network_profit_loss_usd,intraday_nft_metrics
nft_retail_trade_volume_usd,daily_label_based_metrics
nft_retail_trades_count,daily_label_based_metrics
nft_token_id_price,intraday_nft_metrics
nft_token_id_price_usd,intraday_nft_metrics
nft_trade_volume_usd,daily_label_based_metrics
nft_trades_count,daily_label_based_metrics
nft_whale_trade_volume_usd,daily_label_based_metrics
nft_whale_trades_count,daily_label_based_metrics
non_exchange_token_supply,daily_metrics_v2
nvt,daily_metrics_v2
nvt_intraday,intraday_metrics
nvt_transaction_volume,daily_metrics_v2
rank,daily_metrics_v2
realized_cap_hodl_waves_0d_to_1d,daily_metrics_v2
realized_cap_hodl_waves_10y_to_20y,daily_metrics_v2
realized_cap_hodl_waves_180d_to_365d,daily_metrics_v2
realized_cap_hodl_waves_90d_to_180d,daily_metrics_v2
sentiment_balance,intraday_metrics
sentiment_balance,intraday_metrics
sentiment_negative,intraday_metrics
sentiment_negative,intraday_metrics
sentiment_volume_consumed_1d,intraday_metrics
sentiment_volume_consumed_1d,intraday_metrics
sentiment_volume_consumed_1d_change_1d,intraday_metrics
sentiment_volume_consumed_1d_change_30d,intraday_metrics
sentiment_volume_consumed_1d_change_7d,intraday_metrics
social_dominance_1h,intraday_metrics
social_dominance_1h_change_1d,intraday_metrics
social_dominance_1h_change_30d,intraday_metrics
social_dominance_1h_change_7d,intraday_metrics
social_dominance_24h,intraday_metrics
social_dominance_24h_change_1d,intraday_metrics
social_dominance_24h_change_30d,intraday_metrics
social_dominance_24h_change_7d,intraday_metrics
social_dominance_twitter_v2,intraday_metrics
social_dominance_v2,intraday_metrics
social_dominance_v2,intraday_metrics
social_metrics_volume_ai_total,intraday_metrics
social_volume,intraday_metrics
social_volume,intraday_metrics
social_volume_bitcointalk,intraday_metrics
social_volume_bitcointalk,intraday_metrics
social_volume_change_1d,intraday_metrics
social_volume_change_30d,intraday_metrics
social_volume_change_7d,intraday_metrics
stablecoin_trade_amount_by_dex,intraday_label_based_metrics
stablecoin_trade_volume_by_dex,intraday_label_based_metrics
stablecoin_trade_volume_by_token,intraday_label_based_metrics
stack_age_consumed_5min,intraday_metrics
stack_circulation_10y,daily_metrics_v2
stack_mean_age_days,daily_metrics_v2
stack_realized_cap_usd_10y,daily_metrics_v2
stock_to_flow_ratio,daily_metrics_v2
token_eth_price_by_dex_5m,intraday_label_based_metrics
token_velocity,daily_metrics_v2
total_supply,daily_metrics_v2
total_supply,daily_metrics_v2
total_supply_in_profit,daily_metrics_v2
trading_volume_change_1d,intraday_metrics
trading_volume_change_30d,intraday_metrics
trading_volume_change_7d,intraday_metrics
transaction_count,daily_metrics_v2
transaction_volume_5min,intraday_metrics
transaction_volume_change_1d,intraday_metrics
transaction_volume_change_30d,intraday_metrics
transaction_volume_change_7d,intraday_metrics
transaction_volume_loss,daily_metrics_v2
transaction_volume_profit,daily_metrics_v2
transaction_volume_profit_loss_ratio,daily_metrics_v2
transaction_volume_usd,daily_metrics_v2
transaction_volume_usd_change_1d,intraday_metrics
transaction_volume_usd_change_30d,intraday_metrics
transaction_volume_usd_change_7d,intraday_metrics
trending_rank,daily_metrics_v2
unique_social_volume_1h,intraday_metrics
unique_social_volume_5m,intraday_metrics
uniswap_amount_claimed,intraday_metrics
uniswap_amount_claimed_delta,intraday_metrics
uniswap_amount_lp_claimed,intraday_metrics
uniswap_amount_lp_claimed_delta,intraday_metrics
uniswap_amount_user_claimed,intraday_metrics
uniswap_amount_user_claimed_delta,intraday_metrics
uniswap_claims,intraday_metrics
uniswap_claims_delta,intraday_metrics
uniswap_lp_claims,intraday_metrics
uniswap_lp_claims_delta,intraday_metrics
uniswap_percent_claimed,intraday_metrics
uniswap_user_claims,intraday_metrics
uniswap_user_claims_delta,intraday_metrics
whales_to_exchanges_flow,intraday_metrics
withdrawal_balance,intraday_metrics
withdrawal_transactions,daily_metrics_v2
withdrawal_transactions_5min,intraday_metrics
