Field name,Date Type,Description,Primary key,Foreign key
identifier,string,Cryptocurrency name,Y,N
datetime,datetime,Datetime mark,Y,N
topOne,string,"Top-1 word from the trends list. Trending words is a list of words that describe the topics which emerged faster than any others over the last 24 hours. By ""emerging"" we mean getting more social attraction from the crowd, being discussed much more than any other topic.",N,N
topTwo,string,"Top-2 word from the trends list. Trending words is a list of words that describe the topics which emerged faster than any others over the last 24 hours. By ""emerging"" we mean getting more social attraction from the crowd, being discussed much more than any other topic.",N,N
topThree,string,"Top-3 word from the trends list. Trending words is a list of words that describe the topics which emerged faster than any others over the last 24 hours. By ""emerging"" we mean getting more social attraction from the crowd, being discussed much more than any other topic.",N,N
topFour,string,"Top-4 word from the trends list. Trending words is a list of words that describe the topics which emerged faster than any others over the last 24 hours. By ""emerging"" we mean getting more social attraction from the crowd, being discussed much more than any other topic.",N,N
topFive,string,"Top-5 word from the trends list. Trending words is a list of words that describe the topics which emerged faster than any others over the last 24 hours. By ""emerging"" we mean getting more social attraction from the crowd, being discussed much more than any other topic.",N,N
topSix,string,"Top-6 word from the trends list. Trending words is a list of words that describe the topics which emerged faster than any others over the last 24 hours. By ""emerging"" we mean getting more social attraction from the crowd, being discussed much more than any other topic.",N,N
topSeven,string,"Top-7 word from the trends list. Trending words is a list of words that describe the topics which emerged faster than any others over the last 24 hours. By ""emerging"" we mean getting more social attraction from the crowd, being discussed much more than any other topic.",N,N
topEight,string,"Top-8 word from the trends list. Trending words is a list of words that describe the topics which emerged faster than any others over the last 24 hours. By ""emerging"" we mean getting more social attraction from the crowd, being discussed much more than any other topic.",N,N
topNine,string,"Top-9 word from the trends list. Trending words is a list of words that describe the topics which emerged faster than any others over the last 24 hours. By ""emerging"" we mean getting more social attraction from the crowd, being discussed much more than any other topic.",N,N
topTen,string,"Top-10 word from the trends list. Trending words is a list of words that describe the topics which emerged faster than any others over the last 24 hours. By ""emerging"" we mean getting more social attraction from the crowd, being discussed much more than any other topic.",N,N
